flight_id,flight_number,airline,aircraft_type,departure_airport,arrival_airport,departure_time,arrival_time,duration_minutes,available_seats,seat_configuration,price_economy,price_business,price_first,meal_service,baggage_allowance,layovers,status,created_at,updated_at
FL863501,XX3660,Korean Air,Boeing 737,BUR,AUR,2026-08-13T03:53:57Z,2026-08-13T17:11:57Z,798,58,3-4-3,514,1794,3340,No Meal,32kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL653170,AF2517,Air France,Boeing 747,CNS,ZWI,2026-07-14T00:53:57Z,2026-07-14T08:58:57Z,485,390,1-2-1,1717,5575,11399,Special Diet,23kg,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL510966,XX5825,Iberia,Boeing 777,MRS,AL ,2026-05-02T22:23:57Z,2026-05-03T19:01:57Z,1238,330,3-3-3,700,2407,4366,Snack,23kg,Direct,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL199590,CX3289,Cathay Pacific,Airbus A380,NÎM,WOL,2025-12-27T19:53:57Z,2025-12-28T11:38:57Z,945,142,2-4-2,1646,6041,11712,Full Meal,23kg,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL813693,XX9332,Iberia,Embraer E-Jet,BFS,MAN,2026-02-14T13:38:57Z,2026-02-15T02:17:57Z,759,86,2-2-2,1347,3431,7107,Full Meal,23kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL380903,DL6074,Delta Air Lines,Airbus A380,YWG,LIW,2025-11-23T02:23:57Z,2025-11-23T05:54:57Z,211,170,2-4-2,781,2305,4275,Snack,32kg,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL295526,XX8519,Alitalia,Airbus A330,AUG,AIX,2026-05-12T19:38:57Z,2026-05-13T01:12:57Z,334,282,3-4-3,204,750,1156,No Meal,32kg,1 Stop,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL471114,XX3698,Saudia,Airbus A330,REA,MAR,2026-08-16T10:08:57Z,2026-08-16T21:46:57Z,698,208,1-2-1,1996,5821,15837,Special Diet,23kg,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL940781,XX6730,Korean Air,Boeing 737,AJM,WAG,2026-06-10T21:38:57Z,2026-06-11T21:35:57Z,1437,266,3-4-3,1544,5929,9777,Special Diet,No Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL657706,LH7659,Lufthansa,Boeing 787,PLA,RIC,2026-05-11T01:23:57Z,2026-05-11T09:48:57Z,505,275,2-4-2,1206,3077,6666,Full Meal,Extra Baggage,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL733434,XX2458,Air Canada,Boeing 737,FRE,LEI,2026-07-19T04:38:57Z,2026-07-19T20:29:57Z,951,176,2-2,1233,4520,6866,Snack,32kg,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL115332,XX8478,Alitalia,Bombardier CRJ,BOD,SYD,2026-01-09T23:53:57Z,2026-01-10T13:28:57Z,815,68,3-4-3,980,2924,6438,No Meal,Extra Baggage,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL160836,XX1826,Aeromexico,Boeing 737,AL ,BAN,2026-06-01T08:23:57Z,2026-06-01T18:54:57Z,631,107,2-2,830,2190,4853,Snack,23kg,1 Stop,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL792186,XX5401,Scandinavian Airlines,Airbus A320,GIO,BOD,2026-07-20T19:08:57Z,2026-07-21T17:07:57Z,1319,58,1-2-1,1550,5888,8998,Special Diet,Extra Baggage,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL278237,EK5059,Emirates,Boeing 787,RIC,CNS,2026-02-24T23:23:57Z,2026-02-25T21:26:57Z,1323,386,2-2,1715,4625,11500,Special Diet,Extra Baggage,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL953537,KL9921,KLM Royal Dutch Airlines,Embraer E-Jet,MAR,PLA,2026-08-22T07:53:57Z,2026-08-22T19:44:57Z,711,151,2-3-2,851,2420,5297,No Meal,32kg,Direct,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL309478,XX8272,All Nippon Airways,Airbus A350,ARG,AL ,2025-11-16T05:23:57Z,2025-11-16T11:57:57Z,394,191,3-3-3,1869,5746,12671,Special Diet,No Baggage,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL376003,XX5696,Korean Air,Airbus A380,AUS,NEW,2026-07-22T08:23:57Z,2026-07-23T00:53:57Z,990,129,2-2,1345,3867,8161,Snack,23kg,2 Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL271371,XX3449,Virgin Atlantic,Airbus A330,POR,DEI,2025-10-20T08:08:57Z,2025-10-20T20:43:57Z,755,126,3-3-3,907,3459,6298,Special Diet,Extra Baggage,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL421489,XX5849,Air Canada,Boeing 777,CAR,OBI,2026-02-08T14:08:57Z,2026-02-09T06:11:57Z,963,249,2-4-2,237,803,1708,Special Diet,32kg,1 Stop,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL567370,XX3269,WestJet,Boeing 757,GIN,MUC,2025-10-22T02:23:57Z,2025-10-22T21:51:57Z,1168,341,3-4-3,1935,6698,15125,Full Meal,No Baggage,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL566806,DL3516,Delta Air Lines,Bombardier CRJ,LON,MRS,2026-01-23T23:53:57Z,2026-01-24T07:14:57Z,441,224,2-2-2,504,1432,3543,No Meal,32kg,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL852512,XX6144,Turkish Airlines,Embraer E-Jet,RED,AKR,2026-08-07T23:38:57Z,2026-08-08T11:40:57Z,722,367,1-2-1,309,1146,1705,Special Diet,32kg,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL961954,EK2725,Emirates,Bombardier CRJ,ROC,MOU,2026-07-15T13:08:57Z,2026-07-15T16:13:57Z,185,124,2-3-2,1921,6724,10292,Full Meal,Extra Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL136623,XX5972,Qantas,Boeing 747,DAR,CLE,2026-01-09T06:53:57Z,2026-01-10T05:05:57Z,1332,172,3-3-3,813,3116,5587,Full Meal,Extra Baggage,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL168454,XX8922,Virgin Atlantic,Boeing 737,GLA,ATL,2026-01-15T23:08:57Z,2026-01-16T21:53:57Z,1365,353,2-2-2,623,1750,3939,No Meal,23kg,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL672335,WN6087,Southwest Airlines,Boeing 747,AL ,BHX,2026-05-07T01:08:57Z,2026-05-07T16:35:57Z,927,167,3-4-3,291,797,2102,Full Meal,32kg,1 Stop,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL600405,AA8003,American Airlines,Boeing 747,ST.,NÎM,2026-03-22T18:08:57Z,2026-03-23T05:58:57Z,710,195,2-2-2,1336,4047,8321,Full Meal,32kg,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL464261,XX4597,Korean Air,Airbus A320,TEN,OFF,2026-03-11T10:08:57Z,2026-03-12T08:20:57Z,1332,379,2-2-2,433,1217,3175,Special Diet,32kg,1 Stop,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL739253,BA1707,British Airways,Boeing 777,YEG,TOL,2026-05-30T02:53:57Z,2026-05-30T13:44:57Z,651,297,3-3,834,2245,6611,Full Meal,23kg,Direct,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL720044,WN2117,Southwest Airlines,Embraer E-Jet,STE,GEE,2026-05-10T15:38:57Z,2026-05-10T20:26:57Z,288,287,2-3-2,1873,6965,11246,No Meal,32kg,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL359924,LH7179,Lufthansa,ATR 72,THO,ZWI,2026-03-21T19:08:57Z,2026-03-22T05:05:57Z,597,388,3-3-3,1277,4762,6969,Snack,No Baggage,1 Stop,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL341261,XX4307,Japan Airlines,Bombardier CRJ,NAM,ALB,2026-07-02T22:23:57Z,2026-07-03T02:59:57Z,276,282,1-2-1,1090,3730,6355,Full Meal,32kg,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL783861,XX5018,WestJet,Boeing 747,ROC,LEE,2026-02-09T10:23:57Z,2026-02-09T23:03:57Z,760,269,2-4-2,1219,3843,9085,Special Diet,No Baggage,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL327962,XX8325,Iberia,Airbus A350,TEN,BFS,2025-10-18T08:08:57Z,2025-10-18T21:55:57Z,827,55,3-3,529,1677,2869,Full Meal,No Baggage,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL707746,AA1987,American Airlines,Airbus A330,DAR,VER,2026-06-04T02:38:57Z,2026-06-04T18:30:57Z,952,197,3-3,1424,4758,9489,Special Diet,32kg,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL424259,XX9907,Korean Air,Airbus A320,NEW,THO,2026-02-01T05:08:57Z,2026-02-01T22:08:57Z,1020,126,3-3-3,1763,4788,11851,Full Meal,32kg,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL503446,XX3238,Thai Airways,ATR 72,ANG,KUS,2026-02-14T12:38:57Z,2026-02-15T04:53:57Z,975,185,2-4-2,308,1213,2115,Special Diet,Extra Baggage,1 Stop,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL637709,QR2083,Qatar Airways,Boeing 747,AL ,POI,2025-09-26T12:38:57Z,2025-09-27T10:54:57Z,1336,313,2-4-2,1784,6043,9999,No Meal,Extra Baggage,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL642291,XX7435,Thai Airways,Bombardier CRJ,AL ,TOL,2025-10-08T05:53:57Z,2025-10-08T18:18:57Z,745,318,3-4-3,243,701,1263,No Meal,No Baggage,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL925124,DL8976,Delta Air Lines,Embraer E-Jet,GAT,ZWI,2026-07-08T17:53:57Z,2026-07-09T15:13:57Z,1280,118,2-2,1547,5165,10795,Snack,23kg,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL746351,AA5893,American Airlines,Boeing 747,BAR,DAR,2026-07-29T11:38:57Z,2026-07-30T03:16:57Z,938,64,3-4-3,1825,5835,13699,No Meal,No Baggage,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL304559,LH8418,Lufthansa,Airbus A330,ALL,AL ,2026-07-15T04:23:57Z,2026-07-15T11:07:57Z,404,384,3-4-3,433,1540,2258,Special Diet,32kg,2 Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL310813,XX3891,Iberia,Bombardier CRJ,DUN,AL ,2026-07-25T06:53:57Z,2026-07-25T16:11:57Z,558,229,2-2-2,1883,4815,14445,Snack,No Baggage,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL323877,WN4709,Southwest Airlines,Bombardier CRJ,LON,STR,2026-02-15T18:23:57Z,2026-02-16T04:33:57Z,610,126,1-2-1,253,971,1394,Special Diet,32kg,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL282506,XX3171,Turkish Airlines,Boeing 787,GIO,SFO,2025-12-20T02:38:57Z,2025-12-20T18:27:57Z,949,332,2-2,1250,3687,9875,Full Meal,No Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL990818,XX5770,Air Canada,Airbus A380,AL ,SWA,2025-11-23T07:53:57Z,2025-11-24T07:52:57Z,1439,240,2-4-2,276,1006,1766,Full Meal,23kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL892760,XX3607,Turkish Airlines,Airbus A330,STR,BNE,2025-12-31T18:08:57Z,2025-12-31T19:26:57Z,78,371,2-2-2,892,2857,6287,Snack,23kg,1 Stop,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL522662,XX2810,Iberia,Boeing 787,DAI,CNS,2025-10-10T12:23:57Z,2025-10-10T15:58:57Z,215,89,2-3-2,769,2360,5057,Snack,23kg,2 Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL439879,QR1500,Qatar Airways,Airbus A380,SYR,MOU,2025-12-18T11:23:57Z,2025-12-18T22:06:57Z,643,198,3-3-3,1699,5403,11026,Full Meal,Extra Baggage,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL190570,QR3670,Qatar Airways,Boeing 747,AL ,YYC,2026-03-31T23:23:57Z,2026-04-01T06:02:57Z,399,158,2-2-2,612,1572,3464,Special Diet,32kg,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL571209,XX2293,Turkish Airlines,Boeing 787,WIE,NIS,2025-11-28T11:53:57Z,2025-11-29T01:52:57Z,839,231,3-3-3,1438,4286,10682,No Meal,No Baggage,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL993352,XX9762,Etihad Airways,Airbus A320,VAL,ATH,2026-05-20T15:23:57Z,2026-05-21T09:07:57Z,1064,119,2-2-2,1708,5671,10587,Full Meal,32kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL104290,XX4346,Thai Airways,Boeing 757,MUC,KUS,2025-10-01T00:08:57Z,2025-10-01T10:11:57Z,603,217,1-2-1,283,722,1718,No Meal,32kg,1 Stop,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL850345,WN9524,Southwest Airlines,Airbus A330,OBI,BRA,2026-03-19T20:08:57Z,2026-03-20T01:24:57Z,316,394,1-2-1,1636,6130,11602,Special Diet,23kg,1 Stop,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL871858,XX3972,Thai Airways,Boeing 757,MEL,ARA,2025-12-03T18:53:57Z,2025-12-04T14:12:57Z,1159,364,3-4-3,1281,4091,8783,Full Meal,23kg,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL367797,XX3002,Air Canada,Embraer E-Jet,PIT,SHE,2026-05-03T03:53:57Z,2026-05-03T05:23:57Z,90,66,1-2-1,286,1062,1826,No Meal,23kg,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL559168,AA7789,American Airlines,Boeing 757,ST.,SHI,2026-09-14T16:53:57Z,2026-09-15T05:42:57Z,769,245,2-3-2,1873,5759,12996,No Meal,23kg,Direct,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL193374,XX6030,Saudia,Boeing 787,YVR,DOR,2025-09-30T12:38:57Z,2025-09-30T15:55:57Z,197,137,1-2-1,1592,4620,12596,No Meal,32kg,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL746843,AA8473,American Airlines,Airbus A330,MOU,VIC,2025-12-12T19:53:57Z,2025-12-13T13:03:57Z,1030,133,1-2-1,223,638,1189,No Meal,Extra Baggage,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL433637,XX3607,LATAM Airlines,Boeing 737,AL ,MAN,2026-09-06T03:38:57Z,2026-09-06T06:30:57Z,172,379,2-2,1538,5640,11718,Snack,Extra Baggage,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL325146,QR2012,Qatar Airways,Boeing 777,NAP,DOT,2026-08-08T13:08:57Z,2026-08-09T09:25:57Z,1217,215,2-4-2,798,2759,5317,Special Diet,Extra Baggage,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL133835,KL4556,KLM Royal Dutch Airlines,Boeing 747,NEW,HAK,2026-02-26T22:23:57Z,2026-02-27T05:04:57Z,401,348,3-4-3,1862,6324,13894,No Meal,Extra Baggage,2 Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL193879,XX1207,Alitalia,Boeing 787,ZWI,BNE,2026-09-06T19:38:57Z,2026-09-07T12:01:57Z,983,267,2-3-2,241,751,1243,Special Diet,32kg,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL748812,KL3330,KLM Royal Dutch Airlines,Boeing 777,SFO,NEW,2025-09-25T05:38:57Z,2025-09-25T12:24:57Z,406,258,3-4-3,240,805,1853,Snack,23kg,Direct,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL953675,BA8703,British Airways,Boeing 757,NIS,RED,2026-07-07T20:23:57Z,2026-07-08T06:44:57Z,621,385,3-3,997,3627,7790,Special Diet,32kg,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL922514,AF7497,Air France,Boeing 777,GIO,AL ,2026-04-05T03:38:57Z,2026-04-05T05:26:57Z,108,327,2-2-2,1283,4883,8369,Full Meal,No Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL962385,XX1906,Turkish Airlines,Airbus A320,WRE,ZWI,2026-07-10T12:08:57Z,2026-07-11T11:35:57Z,1407,154,3-3-3,1453,4282,9215,Full Meal,Extra Baggage,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL998311,DL3121,Delta Air Lines,Boeing 777,GAT,AUS,2026-08-24T03:38:57Z,2026-08-24T22:42:57Z,1144,259,2-4-2,407,1060,3253,No Meal,32kg,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL639646,SQ3023,Singapore Airlines,Embraer E-Jet,HAM,REA,2026-09-20T21:38:57Z,2026-09-21T18:15:57Z,1237,354,2-4-2,410,1360,3192,Special Diet,No Baggage,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL615485,XX1088,All Nippon Airways,Airbus A380,FRE,MUR,2026-03-17T20:38:57Z,2026-03-18T08:11:57Z,693,156,3-4-3,1887,6532,13015,Special Diet,23kg,3+ Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL465076,CX4586,Cathay Pacific,Airbus A320,ESS,STI,2025-12-20T07:23:57Z,2025-12-21T04:49:57Z,1286,320,2-3-2,1193,3384,8019,Special Diet,32kg,3+ Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL703981,BA6500,British Airways,ATR 72,JUM,YEG,2026-09-15T12:53:57Z,2026-09-16T10:37:57Z,1304,318,2-4-2,1091,2753,7999,Special Diet,Extra Baggage,1 Stop,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL210211,XX3538,Aeromexico,Boeing 747,JUM,DUN,2026-02-12T03:53:57Z,2026-02-12T20:14:57Z,981,112,3-4-3,844,2184,5164,No Meal,No Baggage,1 Stop,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL434146,XX9035,Etihad Airways,Airbus A330,LAX,BAN,2026-03-20T03:08:57Z,2026-03-20T07:28:57Z,260,220,2-4-2,427,1442,3340,Full Meal,No Baggage,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL696719,QR1502,Qatar Airways,Boeing 777,BFS,BOD,2026-04-01T12:23:57Z,2026-04-02T06:35:57Z,1092,171,3-3-3,1599,6305,8838,Special Diet,No Baggage,Direct,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL752600,XX2969,All Nippon Airways,Embraer E-Jet,WIE,BAR,2025-11-20T01:53:57Z,2025-11-20T17:05:57Z,912,170,2-2,1768,6263,10345,No Meal,Extra Baggage,Direct,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL596775,XX8294,All Nippon Airways,Embraer E-Jet,WRE,DUI,2025-11-12T07:23:57Z,2025-11-12T18:43:57Z,680,122,2-4-2,718,2132,4951,Special Diet,23kg,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL845489,AF9250,Air France,Airbus A330,EDI,ATL,2026-04-16T18:08:57Z,2026-04-17T14:32:57Z,1224,147,2-3-2,1700,5700,12663,Snack,23kg,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL918118,QR6880,Qatar Airways,Boeing 787,ARA,MRS,2025-10-02T10:08:57Z,2025-10-02T15:23:57Z,315,350,3-3-3,1267,3795,8091,No Meal,23kg,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL755972,XX8035,Turkish Airlines,Airbus A350,POI,KIT,2026-08-26T02:53:57Z,2026-08-26T12:46:57Z,593,63,2-2,981,3095,6686,Snack,23kg,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL252591,XX9529,Alitalia,ATR 72,KAR,SHI,2026-06-19T04:38:57Z,2026-06-19T08:51:57Z,253,108,2-3-2,1913,5452,15102,No Meal,23kg,1 Stop,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL620505,XX1861,Turkish Airlines,Airbus A330,ADL,YVR,2025-12-08T22:38:57Z,2025-12-09T11:59:57Z,801,303,1-2-1,926,3343,5905,Snack,No Baggage,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL264940,XX3709,LATAM Airlines,Airbus A330,PER,NUR,2026-03-25T10:08:57Z,2026-03-25T14:37:57Z,269,388,3-4-3,207,721,1263,Snack,23kg,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL976354,WN3219,Southwest Airlines,Boeing 787,KUS,TOW,2025-11-07T22:23:57Z,2025-11-08T19:30:57Z,1267,171,3-3,1825,4991,12367,No Meal,Extra Baggage,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL492227,KL7250,KLM Royal Dutch Airlines,Boeing 747,ASA,LYS,2026-04-14T13:08:57Z,2026-04-15T08:39:57Z,1171,60,3-3,1108,4009,6965,No Meal,32kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL501804,QR7139,Qatar Airways,Airbus A330,NÎM,AUS,2026-07-01T12:53:57Z,2026-07-02T03:33:57Z,880,94,2-3-2,607,1573,4563,Special Diet,No Baggage,Direct,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL771032,WN6157,Southwest Airlines,Airbus A380,AL ,AKR,2026-05-27T14:53:57Z,2026-05-28T00:30:57Z,577,288,3-3-3,676,2092,3695,Full Meal,32kg,1 Stop,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL566533,QR4353,Qatar Airways,Bombardier CRJ,FRE,MAN,2026-08-16T00:23:57Z,2026-08-16T09:05:57Z,522,204,2-3-2,666,2200,4702,No Meal,23kg,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL535041,SQ8376,Singapore Airlines,Boeing 737,JOL,RED,2025-12-06T09:38:57Z,2025-12-06T20:44:57Z,666,330,3-3-3,1658,6595,13205,Full Meal,23kg,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL123073,XX1729,Alitalia,Boeing 787,SAA,TEN,2026-04-15T02:38:57Z,2026-04-15T18:26:57Z,948,71,3-4-3,1273,4613,9528,Special Diet,32kg,1 Stop,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL807836,XX1587,Aeromexico,Bombardier CRJ,WRE,BAL,2025-10-25T13:23:57Z,2025-10-26T00:59:57Z,696,310,1-2-1,1274,4998,6606,No Meal,Extra Baggage,Direct,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL930512,XX9287,Saudia,Boeing 737,NIS,SYR,2025-12-28T03:08:57Z,2025-12-28T12:42:57Z,574,116,3-3-3,1589,4811,12291,No Meal,Extra Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL674202,XX2001,Thai Airways,Boeing 747,PLA,CIN,2026-01-28T06:38:57Z,2026-01-28T08:07:57Z,89,110,2-4-2,317,976,1795,Special Diet,Extra Baggage,Direct,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL993154,XX9923,LATAM Airlines,Airbus A380,ESS,CLE,2025-12-13T02:23:57Z,2025-12-13T12:44:57Z,621,122,2-3-2,800,2990,5812,Snack,23kg,Direct,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL277957,XX2014,Alitalia,Boeing 777,AL ,DOR,2026-08-10T01:23:57Z,2026-08-10T23:47:57Z,1344,390,2-4-2,1825,4667,12646,Special Diet,No Baggage,1 Stop,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL228107,QR4751,Qatar Airways,Airbus A350,NIS,AIX,2026-07-02T22:23:57Z,2026-07-03T13:28:57Z,905,386,2-3-2,509,1930,3248,Special Diet,Extra Baggage,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL931541,XX1946,Iberia,Embraer E-Jet,SUR,EDI,2025-10-24T18:23:57Z,2025-10-25T15:35:57Z,1272,150,3-3-3,1470,3954,9075,No Meal,32kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL817409,KL9371,KLM Royal Dutch Airlines,Boeing 787,ALB,UME,2025-12-16T07:38:57Z,2025-12-16T22:10:57Z,872,102,2-2-2,1282,4617,9963,Special Diet,Extra Baggage,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL400620,XX3608,Etihad Airways,Embraer E-Jet,GEE,WRE,2025-09-23T02:23:57Z,2025-09-23T05:47:57Z,204,69,2-4-2,1610,5266,12786,No Meal,No Baggage,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL360536,XX2877,Virgin Atlantic,Boeing 787,TOO,PER,2026-04-16T21:38:57Z,2026-04-17T08:08:57Z,630,220,2-2-2,902,2623,5848,No Meal,23kg,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL195573,XX7262,Air Canada,Boeing 747,AVI,ROC,2026-03-10T22:53:57Z,2026-03-11T07:20:57Z,507,107,2-4-2,1393,5123,7518,Special Diet,32kg,3+ Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL775252,XX8859,Scandinavian Airlines,Airbus A350,BUR,GIO,2026-04-30T10:08:57Z,2026-05-01T07:20:57Z,1272,393,2-3-2,1861,4979,13854,Special Diet,Extra Baggage,2 Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL812149,DL9012,Delta Air Lines,Boeing 787,GIO,ANG,2025-09-22T19:38:57Z,2025-09-23T12:31:57Z,1013,236,2-3-2,835,2357,5718,Full Meal,23kg,3+ Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
